subj,sex,scenario,violation.type,possibility.judgment,age,trial
128,F,8,3,0,31,3
128,F,1,3,0,31,4
128,F,7,4,0,31,5
128,F,6,4,0,31,6
128,F,3,1,1,31,7
128,F,2,4,0,31,8
129,F,3,1,1,33,1
129,F,6,4,0,33,2
129,F,8,4,0,33,3
129,F,5,3,0,33,4
129,F,2,2,0,33,5
129,F,7,2,1,33,6
129,F,1,1,1,33,7
129,F,4,1,1,33,8
130,M,6,1,1,24,1
130,M,5,1,1,24,2
130,M,4,3,0,24,3
130,M,1,3,0,24,4
130,M,3,3,0,24,5
130,M,2,2,0,24,6
130,M,8,2,0,24,7
130,M,7,3,0,24,8
131,F,5,3,0,59,1
131,F,3,2,1,59,2
131,F,1,1,1,59,3
131,F,6,4,0,59,4
131,F,8,3,0,59,5
131,F,7,1,1,59,6
131,F,2,3,0,59,7
131,F,4,3,0,59,8
132,M,8,3,0,21,1
132,M,2,3,1,21,2
132,M,3,1,1,21,3
132,M,5,1,1,21,4
132,M,4,4,0,21,5
132,M,7,3,0,21,6
132,M,6,2,1,21,7
132,M,1,3,0,21,8
133,M,4,2,0,54,1
133,M,6,1,1,54,2
133,M,5,4,0,54,3
133,M,7,4,0,54,4
133,M,2,4,0,54,5
133,M,8,1,1,54,6
133,M,1,3,0,54,7
133,M,3,2,0,54,8
134,M,7,2,0,20,1
134,M,3,3,0,20,2
134,M,5,4,0,20,3
134,M,1,2,1,20,4
134,M,2,4,0,20,5
134,M,4,4,0,20,6
134,M,8,2,0,20,7
134,M,6,2,1,20,8
135,F,6,2,1,33,1
135,F,8,1,1,33,2
135,F,2,3,0,33,3
135,F,4,2,1,33,4
135,F,1,1,1,33,5
135,F,7,4,1,33,6
135,F,5,4,0,33,7
135,F,3,3,0,33,8
136,M,1,3,0,41,1
136,M,6,3,0,41,2
136,M,5,2,1,41,3
136,M,8,4,0,41,4
136,M,2,3,0,41,5
136,M,3,1,1,41,6
136,M,4,1,1,41,7
136,M,7,2,1,41,8
137,F,7,4,0,37,1
137,F,1,3,0,37,2
137,F,5,1,1,37,3
137,F,8,1,1,37,4
137,F,4,2,0,37,5
137,F,6,1,1,37,6
137,F,2,4,0,37,7
137,F,3,1,1,37,8
138,M,8,3,0,59,1
138,M,2,3,0,59,2
138,M,4,1,1,59,3
138,M,7,4,0,59,4
138,M,3,2,0,59,5
138,M,6,1,1,59,6
138,M,5,1,1,59,7
138,M,1,1,1,59,8
139,M,8,4,0,18,1
139,M,7,2,0,18,2
139,M,4,4,0,18,3
139,M,5,1,1,18,4
139,M,6,2,1,18,5
139,M,2,1,1,18,6
139,M,1,4,0,18,7
139,M,3,4,0,18,8
140,F,7,3,0,27,1
140,F,3,3,0,27,2
140,F,1,4,0,27,3
140,F,4,1,1,27,4
140,F,2,4,0,27,5
140,F,8,2,1,27,6
140,F,6,1,1,27,7
140,F,5,4,0,27,8
141,M,6,2,0,24,1
141,M,3,2,1,24,2
141,M,4,1,1,24,3
141,M,5,4,0,24,4
141,M,2,3,0,24,5
141,M,1,1,1,24,6
141,M,8,2,0,24,7
141,M,7,1,1,24,8
142,M,6,2,1,18,1
142,M,1,1,1,18,2
142,M,4,2,0,18,3
142,M,2,4,0,18,4
142,M,8,2,0,18,5
142,M,7,3,0,18,6
142,M,3,1,1,18,7
142,M,5,1,1,18,8
143,F,7,2,0,45,1
143,F,8,1,1,45,2
143,F,2,3,0,45,3
143,F,3,1,1,45,4
143,F,6,1,1,45,5
143,F,4,1,1,45,6
143,F,1,3,0,45,7
143,F,5,2,0,45,8
144,F,1,3,0,43,1
144,F,7,1,1,43,2
144,F,5,2,1,43,3
144,F,4,3,0,43,4
144,F,6,3,0,43,5
144,F,8,2,1,43,6
144,F,3,3,0,43,7
144,F,2,3,0,43,8
145,M,1,4,0,23,1
145,M,7,1,1,23,2
145,M,6,1,1,23,3
145,M,4,2,0,23,4
145,M,5,1,1,23,5
145,M,8,4,0,23,6
145,M,3,2,0,23,7
145,M,2,2,0,23,8
146,F,7,4,0,23,1
146,F,8,2,0,23,2
146,F,4,3,0,23,3
146,F,1,1,1,23,4
146,F,5,4,0,23,5
146,F,3,4,0,23,6
146,F,6,1,1,23,7
146,F,2,3,0,23,8
147,M,3,2,1,40,1
147,M,5,1,1,40,2
147,M,6,1,1,40,3
147,M,2,3,0,40,4
147,M,4,1,1,40,5
147,M,7,4,0,40,6
147,M,8,3,0,40,7
147,M,1,1,1,40,8
148,M,3,1,1,21,1
148,M,1,1,1,21,2
148,M,7,2,0,21,3
148,M,2,3,0,21,4
148,M,4,1,1,21,5
148,M,6,3,0,21,6
148,M,8,1,1,21,7
148,M,5,3,0,21,8
149,M,1,2,0,25,1
149,M,4,2,1,25,2
149,M,7,1,1,25,3
149,M,6,3,0,25,4
149,M,3,1,1,25,5
149,M,2,1,1,25,6
149,M,8,2,0,25,7
149,M,5,4,0,25,8
150,M,5,3,0,21,1
150,M,3,1,1,21,2
150,M,6,3,0,21,3
150,M,1,2,0,21,4
150,M,2,2,0,21,5
150,M,7,2,0,21,6
150,M,4,3,0,21,7
150,M,8,2,0,21,8
151,F,2,1,1,27,1
151,F,8,3,0,27,2
151,F,5,4,0,27,3
151,F,6,1,1,27,4
151,F,4,4,0,27,5
151,F,7,2,0,27,6
151,F,1,2,1,27,7
151,F,3,3,0,27,8
152,M,5,3,0,23,1
152,M,3,3,0,23,2
152,M,6,1,1,23,3
152,M,8,1,1,23,4
152,M,4,3,0,23,5
152,M,1,1,1,23,6
152,M,2,1,1,23,7
152,M,7,1,1,23,8
153,M,4,1,0,999,1
153,M,1,3,0,999,2
153,M,6,3,1,999,3
153,M,7,3,0,999,4
153,M,8,4,1,999,5
153,M,5,2,0,999,6
153,M,2,1,0,999,7
153,M,3,4,0,999,8
154,M,2,3,0,22,1
154,M,7,4,1,22,2
154,M,6,1,0,22,3
154,M,4,2,0,22,4
154,M,5,4,0,22,5
154,M,1,2,1,22,6
154,M,8,4,0,22,7
154,M,3,2,0,22,8
155,M,6,3,0,22,1
155,M,5,3,0,22,2
155,M,1,4,0,22,3
155,M,2,4,0,22,4
155,M,3,3,0,22,5
155,M,8,3,0,22,6
155,M,4,2,0,22,7
155,M,7,1,1,22,8
156,M,3,1,1,32,1
156,M,4,1,1,32,2
156,M,8,4,0,32,3
156,M,1,4,0,32,4
156,M,2,2,0,32,5
156,M,5,3,0,32,6
156,M,6,4,0,32,7
156,M,7,1,1,32,8
157,M,8,1,0,31,1
157,M,5,4,0,31,2
157,M,1,3,0,31,3
157,M,6,2,1,31,4
157,M,7,3,0,31,5
157,M,4,3,0,31,6
157,M,2,3,0,31,7
157,M,3,1,1,31,8
158,M,2,3,0,33,1
158,M,6,2,1,33,2
158,M,7,4,0,33,3
158,M,3,1,1,33,4
158,M,5,2,1,33,5
158,M,4,2,1,33,6
158,M,1,3,0,33,7
158,M,8,3,0,33,8
159,M,6,2,1,19,1
159,M,3,2,1,19,2
159,M,2,4,0,19,3
159,M,5,4,0,19,4
159,M,8,1,1,19,5
159,M,4,4,0,19,6
159,M,7,4,0,19,7
159,M,1,3,0,19,8
160,M,8,3,0,36,1
160,M,2,4,0,36,2
160,M,5,3,0,36,3
160,M,1,4,0,36,4
160,M,3,1,1,36,5
160,M,7,1,1,36,6
160,M,6,4,0,36,7
160,M,4,2,1,36,8
161,M,6,1,1,32,1
161,M,4,1,1,32,2
161,M,5,3,0,32,3
161,M,2,2,0,32,4
161,M,1,1,1,32,5
161,M,8,4,0,32,6
161,M,7,3,0,32,7
161,M,3,1,1,32,8
162,M,1,1,1,31,1
162,M,6,3,0,31,2
162,M,2,3,0,31,3
162,M,4,4,0,31,4
162,M,3,2,0,31,5
162,M,5,4,0,31,6
162,M,7,4,0,31,7
162,M,8,3,0,31,8
163,M,4,1,1,26,1
163,M,2,1,1,26,2
163,M,5,4,0,26,3
163,M,8,3,0,26,4
163,M,1,4,0,26,5
163,M,7,3,0,26,6
163,M,3,1,1,26,7
163,M,6,4,0,26,8
164,F,3,2,0,24,1
164,F,1,1,1,24,2
164,F,2,2,0,24,3
164,F,7,2,0,24,4
164,F,5,3,0,24,5
164,F,8,3,0,24,6
164,F,4,3,0,24,7
164,F,6,2,0,24,8
165,M,7,1,1,27,1
165,M,3,2,0,27,2
165,M,8,1,1,27,3
165,M,4,1,1,27,4
165,M,2,3,0,27,5
165,M,5,1,1,27,6
165,M,1,4,0,27,7
165,M,6,3,0,27,8
166,M,8,2,1,19,1
166,M,4,2,0,19,2
166,M,2,4,0,19,3
166,M,1,4,0,19,4
166,M,7,2,0,19,5
166,M,6,1,0,19,6
166,M,5,1,1,19,7
166,M,3,4,0,19,8
167,M,4,3,0,26,1
167,M,2,1,1,26,2
167,M,6,2,1,26,3
167,M,5,4,0,26,4
167,M,1,3,0,26,5
167,M,7,3,0,26,6
167,M,3,3,0,26,7
167,M,8,4,0,26,8
168,F,7,2,0,37,1
168,F,3,4,0,37,2
168,F,2,4,0,37,3
168,F,1,4,0,37,4
168,F,8,4,0,37,5
168,F,5,1,1,37,6
168,F,6,2,1,37,7
168,F,4,1,1,37,8
169,F,1,1,1,24,1
169,F,6,1,1,24,2
169,F,8,4,0,24,3
169,F,2,1,1,24,4
169,F,7,1,1,24,5
169,F,5,2,0,24,6
169,F,4,4,0,24,7
169,F,3,4,0,24,8
170,M,7,1,1,21,1
170,M,8,1,1,21,2
170,M,5,2,0,21,3
170,M,6,2,0,21,4
170,M,4,4,0,21,5
170,M,3,2,0,21,6
170,M,2,2,0,21,7
170,M,1,1,1,21,8
171,M,8,2,0,25,1
171,M,7,4,0,25,2
171,M,5,1,1,25,3
171,M,6,4,0,25,4
171,M,2,2,0,25,5
171,M,3,1,1,25,6
